0,0,0,-0.81743,0.26366,-7.8283,-2.049,,,
1,0,1,0.52544,0.12264,-6.5015,-1.7018,,,
2,0,2,0.23345,0.50894,-7.1649,-1.8754,,,
3,0,3,-0.87598,1.1589,-6.5015,-1.7018,,,
4,0,4,0.93415,-0.0091895,-7.1649,-1.8754,,,
5,0,5,1.5763,0.36792,-3.5507,8.2,,,
6,0,6,2.4523,-0.79098,-3.5507,8.2,,,
7,0,7,1.2261,-0.39549,-3.5507,8.2,,,
8,0,8,1.1676,0.49975,-5.1083,7.2356,,,
9,0,9,0.64216,0.37711,-5.4524,5.1325,,,
10,0,10,0.40872,-0.13183,-6.2354,3.6,,,
11,0,11,0.52544,0.12264,-2.2084,5.1,,,
12,0,12,1.2843,0.75422,-1.2144,4.0377,,,
13,0,13,0.11672,0.25447,-0.69177,4.3226,,,
14,0,14,1.0509,0.24528,0.76696,3.9068,,,
15,0,15,0.11672,0.25447,2.3883,0.62513,,,
16,0,16,-0.70071,0.51813,2.325,-2.6847,,,
17,0,17,-1.2261,0.39549,1.7257,-3.0529,,,
18,0,18,-0.81743,0.26366,1.2144,-4.0377,,,
19,0,19,-0.29199,0.3863,1.2144,-4.0377,,,
20,0,20,-0.81743,0.26366,0.54138,-3.3829,,,
21,0,21,-0.11672,-0.25447,-1.1258,-1.3,,,
22,0,22,0,0,-1.5588,3.6,,,
23,0,23,-0.11672,-0.25447,-3.825,4.4167,,,
24,1,0,0.17527,-0.64077,-4.8614,3.6639,-0.32108,-6.3448,0.80742
25,1,1,0.17527,-0.64077,-4.6386,4.3665,0.35035,-5.5701,1.3324
26,1,2,0.29199,-0.3863,-4.3496,3.2782,0.26272,-5.7573,0.70141
27,1,3,2.277,-0.15021,-4.8614,3.6639,0.70052,-5.6814,0.98107
28,1,4,1.8683,-0.018379,-5.2878,3.9853,1.4012,-6.2263,1.0549
29,1,5,-0.11672,-0.25447,-5.2878,2.1205,0.7298,-4.4192,5.1603
30,1,6,-0.81743,0.26366,-3.3366,0.71196,0.81743,-3.4436,4.456
31,1,7,-0.52544,-0.12264,-1.2144,4.0377,0.35035,-2.3826,6.1189
32,1,8,0.75888,0.63158,1.5588,1.8,0.96324,-1.7747,4.5178
33,1,9,-0.70071,0.51813,0.62202,1.3499,-0.029273,-2.4152,3.2412
34,1,10,-0.87598,1.1589,1.3423,1.55,-0.23363,-2.4465,2.575
35,1,11,-0.9927,0.90443,1.7249,0.45149,-0.23363,-0.24174,2.7757
36,1,12,-1.8101,1.1681,3.4968,-1.4023,-0.2629,1.1412,1.3177
37,1,13,-2.861,0.92281,5.4524,-5.1325,-1.3721,2.3803,-0.40496
38,1,14,-1.8683,0.018379,1.5588,-3.6,-0.40872,1.1629,0.15341
39,1,15,-2.1018,-0.49056,2.4682,-5.7,-0.99252,2.4282,-2.5374
40,1,16,-0.52544,-0.12264,1.8364,-6.1058,-0.61307,2.0807,-4.3952
41,1,17,-0.35017,-0.76341,2.1326,-7.0906,-0.78816,1.9292,-5.0718
42,1,18,-1.1091,-1.395,1.8364,-6.1058,-0.96324,1.5254,-5.0718
43,1,19,-0.11672,-0.25447,2.2084,-5.1,-0.20436,1.7114,-4.5689
44,1,20,-0.11672,-0.25447,0.76696,-4.7924,-0.46708,0.65417,-4.0877
45,1,21,-1.3429,0.14102,-0.69177,-3.5238,-0.7298,-0.9088,-2.4119
46,1,22,-0.11672,-0.25447,-5.77E-16,-3.5507,-0.058361,-0.77942,0.024648
47,1,23,-4.2621,-0.085883,1.1258,1.3,-2.1894,-1.3496,2.8584
